"","qKO_rep1","qKO_rep2","qKO_rep3","WT_rep1","WT_rep2","WT_rep3"
"ENSMUSG00000030472.9",2,10,2,0,10,0
"ENSMUSG00000030474.9",0,2,20,0,4,8
"ENSMUSG00000108783.1",0,0,0,2,0,0
"ENSMUSG00000038888.8",636,598,986,730,946,784
"ENSMUSG00000044737.6",4,3,0,8,2,0
"ENSMUSG00000108734.1",0,0,0,0,0,0
"ENSMUSG00000097178.7",20,20,1,12,5,1
"ENSMUSG00000054046.7",84,110,30,38,90,2
"ENSMUSG00000108588.1",0,0,0,0,0,0
"ENSMUSG00000044430.11",0,0,0,0,0,0
"ENSMUSG00000067616.11",238,156,140,146,158,64
"ENSMUSG00000030693.10",178,172,282,348,386,260
"ENSMUSG00000047884.6",14,24,6,0,4,4
"ENSMUSG00000064023.4",442,445,213,168,265,99
"ENSMUSG00000030713.6",10,6,4,4,2,0
"ENSMUSG00000050063.18",0,0,0,0,0,0
"ENSMUSG00000074155.2",0,0,0,0,0,0
"ENSMUSG00000108781.1",0,0,0,0,0,0
"ENSMUSG00000108527.1",0,0,0,0,0,0
"ENSMUSG00000006948.7",0,0,0,0,0,0
"ENSMUSG00000108444.1",0,0,0,0,0,0
"ENSMUSG00000055193.4",0,0,0,0,0,0
"ENSMUSG00000108432.1",0,0,0,0,0,0
"ENSMUSG00000060161.9",0,0,0,0,0,0
"ENSMUSG00000108323.1",2,0,0,0,0,0
"ENSMUSG00000063089.4",0,0,0,0,0,0
"ENSMUSG00000108651.1",0,0,0,0,0,0
"ENSMUSG00000063133.2",0,0,0,0,0,0
"ENSMUSG00000108746.1",0,0,0,0,0,0
"ENSMUSG00000059042.3",0,0,0,0,0,0
"ENSMUSG00000108730.1",0,0,0,0,0,0
"ENSMUSG00000108602.1",0,0,0,0,0,0
"ENSMUSG00000044485.4",0,0,0,0,0,0
"ENSMUSG00000108794.1",0,0,0,0,0,0
"ENSMUSG00000108539.1",0,0,0,0,0,0
"ENSMUSG00000053719.10",0,0,0,0,0,0
"ENSMUSG00000108759.1",0,0,0,0,0,0
"ENSMUSG00000108339.1",0,0,0,0,0,0
"ENSMUSG00000108328.1",0,0,0,0,0,0
"ENSMUSG00000108440.1",0,0,0,0,0,0
"ENSMUSG00000063177.6",0,0,0,0,0,0
"ENSMUSG00000108538.1",0,0,0,0,0,0
"ENSMUSG00000108400.1",0,0,0,0,0,0
"ENSMUSG00000108498.1",0,0,0,0,0,0
"ENSMUSG00000108406.1",0,0,0,0,0,0
"ENSMUSG00000108517.1",0,0,0,0,0,0
"ENSMUSG00000066516.5",0,0,0,0,0,0
"ENSMUSG00000108301.1",0,0,0,0,0,0
"ENSMUSG00000060177.6",0,10,0,2,0,0
"ENSMUSG00000108796.1",0,0,0,0,0,0
"ENSMUSG00000108403.1",0,0,0,0,0,0
"ENSMUSG00000108797.1",0,0,0,0,0,0
"ENSMUSG00000038968.3",0,0,0,0,0,0
"ENSMUSG00000108774.1",0,0,0,0,0,0
"ENSMUSG00000063713.7",0,6,0,0,0,0
"ENSMUSG00000108727.1",0,0,0,0,0,0
"ENSMUSG00000066515.3",30,24,8,4,20,6
"ENSMUSG00000108459.1",0,0,0,0,0,0
"ENSMUSG00000066513.4",0,2,0,0,0,0
"ENSMUSG00000108679.1",0,0,0,0,0,2
"ENSMUSG00000066512.3",0,0,0,0,0,0
"ENSMUSG00000062073.6",8,4,0,10,0,14
"ENSMUSG00000063903.5",294,310,92,238,332,106
"ENSMUSG00000038782.7",30,48,52,20,47,24
"ENSMUSG00000108622.2",12,10,8,8,14,4
"ENSMUSG00000088439.1",8,2,8,2,0,0
"ENSMUSG00000045411.16",4045,4196,5285,3440,4279,3357
"ENSMUSG00000101166.6",4,12,16,4,10,14
"ENSMUSG00000080352.1",0,0,0,0,0,0
"ENSMUSG00000096296.1",14,18,26,20,24,4
"ENSMUSG00000095472.1",0,0,0,0,0,0
"ENSMUSG00000080683.1",0,0,0,0,0,0
"ENSMUSG00000012777.14",237,322,331,246,259,317
"ENSMUSG00000087376.3",0,0,0,0,0,0
"ENSMUSG00000108705.1",60,24,24,12,32,42
"ENSMUSG00000108343.1",0,0,0,0,0,0
"ENSMUSG00000108512.1",0,0,0,0,0,0
"ENSMUSG00000004473.10",40,32,28,20,24,14
"ENSMUSG00000038738.15",227,151,473,277,427,156
"ENSMUSG00000108719.1",0,0,0,0,0,0
"ENSMUSG00000008028.15",73,54,80,44,62,34
"ENSMUSG00000108509.1",13,13,19,12,6,8
"ENSMUSG00000030731.13",245,184,264,141,217,170
"ENSMUSG00000108372.1",12,16,14,6,0,4
"ENSMUSG00000047085.14",0,4,0,0,0,0
"ENSMUSG00000038704.12",0,10,0,0,0,0
"ENSMUSG00000038695.13",454,266,408,270,432,336
"ENSMUSG00000098661.1",2,2,0,0,10,2
"ENSMUSG00000108322.2",2,6,10,4,0,6
"ENSMUSG00000008140.18",4336,3092,6572,4118,6394,5374
"ENSMUSG00000051113.9",30,24,18,8,8,8
"ENSMUSG00000108607.2",18,12,18,1,2,4
"ENSMUSG00000038670.11",196,184,92,85,138,42
"ENSMUSG00000008193.13",52,46,28,34,52,22
"ENSMUSG00000038644.14",8376,5728,9524,7424,11018,6660
"ENSMUSG00000099330.1",0,0,0,2,6,2
"ENSMUSG00000109236.1",20,6,2,6,16,4
"ENSMUSG00000060601.13",3890,2996,4658,4112,6010,3656
"ENSMUSG00000002204.9",296,362,564,320,495,63
"ENSMUSG00000109491.1",73,58,118,56,99,9
"ENSMUSG00000062785.14",933,709,1612,799,1208,588
"ENSMUSG00000108832.1",174,111,298,115,142,46
"ENSMUSG00000030739.18",1410,924,738,846,1594,798
"ENSMUSG00000109352.1",0,0,0,0,0,0
"ENSMUSG00000070574.2",0,0,0,0,0,0
"ENSMUSG00000066500.5",16,10,0,4,2,0
"ENSMUSG00000048012.19",1651,1728,2925,1855,2370,1495
"ENSMUSG00000002205.16",1689,1654,2315,1875,2280,1781
"ENSMUSG00000109227.1",0,0,0,0,0,0
"ENSMUSG00000038539.15",2112,1747,1731,1712,2909,1671
"ENSMUSG00000109511.1",10092,9488,14508,10756,14314,9776
"ENSMUSG00000074141.13",78,59,130,63,90,90
"ENSMUSG00000038520.15",1795,1523,2311,1680,2536,1710
"ENSMUSG00000011096.17",1565,936,2119,1284,2116,1530
"ENSMUSG00000076051.1",0,0,0,0,0,0
"ENSMUSG00000002963.17",1266,1050,856,1024,1347,914
"ENSMUSG00000038502.17",5922,4594,7396,5732,8543,5754
"ENSMUSG00000002968.9",6004,4408,8432,6344,9468,6212
"ENSMUSG00000109198.1",178,139,185,100,183,83
"ENSMUSG00000011658.16",1320,1096,1598,1111,1589,1233
"ENSMUSG00000060279.14",6918,5399,9475,6959,10256,6386
"ENSMUSG00000059891.14",142,74,70,52,82,20
"ENSMUSG00000007783.10",3327,2973,2946,2002,3033,1712
"ENSMUSG00000109111.1",251,161,190,164,221,100
"ENSMUSG00000109324.2",14456,15284,23860,16528,22220,17950
"ENSMUSG00000087138.1",803,827,889,612,955,576
"ENSMUSG00000003190.12",772,616,856,588,729,490
"ENSMUSG00000003184.15",1383,1087,1591,1041,1570,1262
"ENSMUSG00000038406.17",6739,4402,8230,6232,9946,6181
"ENSMUSG00000098839.1",2,8,4,2,0,0
"ENSMUSG00000038387.9",497,600,480,472,718,403
"ENSMUSG00000046574.8",5760,3878,6810,6364,10016,4482
"ENSMUSG00000007837.11",309,278,339,255,444,318
"ENSMUSG00000003421.13",2725,2076,3329,2651,3796,2802
"ENSMUSG00000019539.11",1156,829,612,668,1015,368
"ENSMUSG00000109947.1",168,139,72,76,149,50
"ENSMUSG00000003420.8",134,92,12,76,88,24
"ENSMUSG00000065495.1",0,2,0,0,0,0
"ENSMUSG00000110279.1",5102,5692,5367,4351,5525,4749
"ENSMUSG00000003429.11",22617,23765,22545,18167,24929,20639
"ENSMUSG00000064767.1",0,0,0,0,0,0
"ENSMUSG00000074129.14",5626,6104,5718,4018,4522,4060
"ENSMUSG00000089989.10",0,0,0,0,0,0
"ENSMUSG00000065818.1",48,48,88,62,52,46
"ENSMUSG00000065878.1",58,52,116,60,50,82
"ENSMUSG00000065628.1",0,0,0,0,0,0
"ENSMUSG00000105913.1",0,0,0,0,0,0
"ENSMUSG00000065219.1",68,60,114,60,92,46
"ENSMUSG00000110206.1",30,34,46,46,32,36
"ENSMUSG00000007833.15",3548,2589,3962,2759,4119,3590
"ENSMUSG00000003423.15",2160,1808,2430,2101,2929,2592
"ENSMUSG00000070570.5",46,36,76,88,114,60
"ENSMUSG00000106470.1",0,0,0,0,0,0
"ENSMUSG00000095276.2",2,8,0,4,2,6
"ENSMUSG00000038300.6",0,0,0,0,0,0
"ENSMUSG00000038292.14",110,106,46,58,44,22
"ENSMUSG00000030792.8",28,12,0,12,8,18
"ENSMUSG00000030796.17",2924,2632,3165,2739,3817,2878
"ENSMUSG00000030798.15",80,77,7,20,43,50
"ENSMUSG00000094152.5",22,36,0,4,22,8
"ENSMUSG00000088281.1",0,0,0,0,0,0
"ENSMUSG00000070568.12",0,2,0,3,8,2
"ENSMUSG00000038260.10",1068,886,796,562,804,368
"ENSMUSG00000046721.11",352,400,460,258,452,282
"ENSMUSG00000038239.11",34,65,26,16,18,16
"ENSMUSG00000003863.18",712,533,754,442,732,430
"ENSMUSG00000091510.4",14,3,0,7,2,6
"ENSMUSG00000003872.9",77,86,47,40,70,35
"ENSMUSG00000110070.1",26,31,37,11,25,13
"ENSMUSG00000063511.11",13018,11456,16462,11929,16376,10962
"ENSMUSG00000084519.1",24,60,30,34,26,18
"ENSMUSG00000038201.10",24,20,2,22,28,14
"ENSMUSG00000074121.3",112,138,80,88,164,92
"ENSMUSG00000118462.1",4,6,4,6,26,2
"ENSMUSG00000100916.3",14,16,28,18,23,24
"ENSMUSG00000003868.14",9304,7419,11213,9068,12107,8991
"ENSMUSG00000003865.16",2554,2333,2557,2713,3939,1863
"ENSMUSG00000050708.16",13366,10558,13986,13908,16537,18391
"ENSMUSG00000076036.1",0,0,0,0,0,0
"ENSMUSG00000110350.1",6582,5831,7449,7368,8760,9083
"ENSMUSG00000003873.11",6334,5704,7876,6270,8558,6912
"ENSMUSG00000109926.1",0,0,0,0,0,0
"ENSMUSG00000011382.8",842,937,1136,752,971,914
"ENSMUSG00000023467.18",280,258,174,126,198,283
"ENSMUSG00000030824.17",5336,4454,5770,3900,5386,5534
"ENSMUSG00000110387.1",0,0,0,0,0,0
"ENSMUSG00000040435.12",1693,1523,2238,1549,2307,1571
"ENSMUSG00000040428.19",372,242,514,394,515,440
"ENSMUSG00000110144.1",42,12,67,34,42,46
"ENSMUSG00000030825.19",2440,2196,5615,4624,6055,5126
"ENSMUSG00000109644.1",190,156,178,145,178,60
"ENSMUSG00000030826.19",5904,5440,7934,6119,8630,6092
"ENSMUSG00000109632.1",0,0,4,0,2,0
"ENSMUSG00000030827.5",10,4,14,6,22,0
"ENSMUSG00000008461.6",14,0,6,14,20,4
"ENSMUSG00000064158.6",46,14,16,8,24,12
"ENSMUSG00000044562.12",139,116,156,325,424,249
"ENSMUSG00000109998.1",9,5,10,37,31,18
"ENSMUSG00000110357.1",66,63,42,120,161,111
"ENSMUSG00000042918.17",12,14,2,32,38,18
"ENSMUSG00000055978.5",6,2,4,2,18,2
"ENSMUSG00000040364.8",72,68,63,89,133,181
"ENSMUSG00000070564.15",16,10,11,23,51,15
"ENSMUSG00000003273.14",278,266,184,162,196,230
"ENSMUSG00000059824.12",338,284,379,332,455,378
"ENSMUSG00000057342.15",2059,1634,2883,2491,3617,2604
"ENSMUSG00000059070.16",39685,33832,30386,28607,35748,31922
"ENSMUSG00000054161.12",14,16,14,21,24,18
"ENSMUSG00000070563.6",0,0,0,0,2,8
"ENSMUSG00000003271.17",104,76,60,32,45,32
"ENSMUSG00000109602.1",4,1,4,0,1,4
"ENSMUSG00000062044.16",734,447,728,584,1084,568
"ENSMUSG00000003269.17",2355,2301,3147,2448,3269,2486
"ENSMUSG00000110197.1",17,7,15,10,33,6
"ENSMUSG00000058743.6",28,20,8,26,30,12
"ENSMUSG00000053801.18",4110,3824,7546,5100,7448,7048
"ENSMUSG00000110020.1",27,28,11,20,39,19
"ENSMUSG00000002771.12",59,56,49,54,65,61
"ENSMUSG00000002778.14",3248,3442,3906,2686,3548,3398
"ENSMUSG00000088555.1",10,2,0,0,0,0
"ENSMUSG00000040231.16",2,0,0,0,2,8
"ENSMUSG00000002781.19",830,694,1334,778,1292,956
"ENSMUSG00000040212.12",64,44,12,26,52,24
"ENSMUSG00000110208.1",2,2,7,0,5,0
"ENSMUSG00000040189.18",442,410,177,194,235,162
"ENSMUSG00000109673.1",2,2,0,0,0,0
"ENSMUSG00000030834.7",0,6,0,0,0,0
"ENSMUSG00000109702.1",0,0,6,0,0,0
"ENSMUSG00000030835.6",6980,6492,11464,6576,9266,6748
"ENSMUSG00000109882.1",0,0,0,0,0,0
"ENSMUSG00000096146.2",4,0,0,0,2,0
"ENSMUSG00000040136.10",2,4,2,4,6,10
"ENSMUSG00000110146.1",0,0,0,0,0,0
"ENSMUSG00000110240.1",0,0,0,0,0,0
"ENSMUSG00000030838.19",8,0,0,0,0,0
"ENSMUSG00000110060.1",2,0,0,0,0,0
"ENSMUSG00000009487.10",6,2,0,4,0,0
"ENSMUSG00000109962.1",0,0,0,0,0,0
"ENSMUSG00000009471.4",2,6,0,0,0,0
"ENSMUSG00000058975.7",2,6,0,2,0,0
"ENSMUSG00000030839.12",334,306,274,226,308,192
"ENSMUSG00000094229.1",0,0,2,2,2,0
"ENSMUSG00000110316.1",0,0,0,0,0,2
"ENSMUSG00000087492.2",0,6,0,0,0,0
"ENSMUSG00000110272.1",0,0,0,0,0,0
"ENSMUSG00000040046.14",0,0,0,0,0,0
"ENSMUSG00000110010.1",28,22,30,10,28,30
"ENSMUSG00000006763.14",1240,1302,1674,1120,1468,1156
"ENSMUSG00000040026.8",0,7,1,10,2,8
"ENSMUSG00000040017.8",0,0,0,0,0,0
"ENSMUSG00000109624.1",0,0,0,0,0,0
"ENSMUSG00000074115.5",0,2,0,0,0,0
"ENSMUSG00000057465.5",0,0,0,4,0,0
"ENSMUSG00000014418.16",883,1162,1384,1088,1120,737
"ENSMUSG00000110087.1",8,24,10,6,2,0
"ENSMUSG00000006599.13",3213,3514,6184,3628,4070,4321
"ENSMUSG00000087298.3",8,22,8,18,6,8
"ENSMUSG00000109663.1",0,0,0,0,0,0
"ENSMUSG00000063229.15",20828,21333,40289,19514,25240,24030
"ENSMUSG00000030851.15",88,110,148,34,84,98
"ENSMUSG00000014402.15",1456,1780,1678,1734,1632,1444
"ENSMUSG00000110213.1",2,0,2,2,0,0
"ENSMUSG00000043262.16",536,764,502,422,372,274
"ENSMUSG00000109231.1",52,96,86,32,58,14
"ENSMUSG00000110416.1",6,0,0,2,0,0
"ENSMUSG00000110001.1",0,3,0,0,0,0
"ENSMUSG00000109637.1",0,3,0,0,0,0
"ENSMUSG00000056509.10",0,0,0,0,0,4
"ENSMUSG00000049516.9",754,874,1075,962,895,908
"ENSMUSG00000109118.1",38,28,41,52,51,12
"ENSMUSG00000109634.1",0,0,0,0,0,0
"ENSMUSG00000010307.7",60,64,34,38,48,32
"ENSMUSG00000111473.1",0,0,0,0,0,0
"ENSMUSG00000030854.17",2,0,0,12,0,0
"ENSMUSG00000098960.1",0,0,0,0,0,0
"ENSMUSG00000109501.1",0,0,0,0,0,0
"ENSMUSG00000109200.1",0,0,0,0,0,0
"ENSMUSG00000052303.6",0,0,0,0,0,0
"ENSMUSG00000074111.4",0,0,0,0,0,0
"ENSMUSG00000099560.1",0,0,0,0,0,0
"ENSMUSG00000050650.7",0,0,0,0,0,0
"ENSMUSG00000109164.1",0,0,0,0,0,0
"ENSMUSG00000100470.1",0,0,0,0,0,0
"ENSMUSG00000095085.1",0,0,0,0,0,0
"ENSMUSG00000093973.1",0,0,0,0,0,0
"ENSMUSG00000096719.1",0,0,0,0,0,0
"ENSMUSG00000101780.1",0,0,0,0,0,0
"ENSMUSG00000101944.1",0,0,0,0,0,0
"ENSMUSG00000101664.1",0,0,0,0,0,0
"ENSMUSG00000099659.1",0,0,0,0,0,0
"ENSMUSG00000078698.3",0,0,0,0,0,0
"ENSMUSG00000100665.1",0,0,0,0,0,0
"ENSMUSG00000101087.1",0,0,0,0,0,0
"ENSMUSG00000101817.1",0,0,0,0,0,0
"ENSMUSG00000099603.1",0,0,0,0,0,0
"ENSMUSG00000101739.1",0,0,0,0,0,0
"ENSMUSG00000077110.1",0,0,0,0,0,0
"ENSMUSG00000100920.1",0,0,0,0,0,0
"ENSMUSG00000102109.1",0,0,0,0,0,0
"ENSMUSG00000102068.1",0,0,0,0,0,0
"ENSMUSG00000102128.1",0,0,0,0,0,0
"ENSMUSG00000101622.1",0,0,0,0,0,0
"ENSMUSG00000101101.1",0,0,0,0,0,0
"ENSMUSG00000101759.1",0,0,0,0,0,0
"ENSMUSG00000101906.1",0,0,0,0,0,0
"ENSMUSG00000067173.3",0,0,0,0,0,0
"ENSMUSG00000070552.2",0,0,0,0,0,0
"ENSMUSG00000101063.1",0,0,0,0,0,0
"ENSMUSG00000102003.1",0,0,0,0,0,0
"ENSMUSG00000101900.1",0,0,0,0,0,0
"ENSMUSG00000102100.1",0,0,0,0,0,0
"ENSMUSG00000101352.1",0,0,0,0,0,0
"ENSMUSG00000070551.3",0,0,0,0,0,0
"ENSMUSG00000101543.1",0,0,0,0,0,0
"ENSMUSG00000070550.2",0,0,0,0,0,0
"ENSMUSG00000097955.1",0,0,0,0,0,0
"ENSMUSG00000099952.1",0,0,0,0,0,0
"ENSMUSG00000099620.1",0,0,0,0,0,0
"ENSMUSG00000100687.1",0,0,0,0,0,0
"ENSMUSG00000050870.4",0,0,0,0,0,0
"ENSMUSG00000070547.4",0,0,0,0,0,0
"ENSMUSG00000074109.4",0,0,0,4,2,0
"ENSMUSG00000050425.2",0,0,0,0,0,0
"ENSMUSG00000101362.1",0,0,0,0,0,0
"ENSMUSG00000100250.1",0,0,0,0,0,0
"ENSMUSG00000070546.2",0,0,0,0,0,0
"ENSMUSG00000099889.1",0,0,0,0,0,0
"ENSMUSG00000109170.1",0,0,0,0,0,0
"ENSMUSG00000030471.17",1144,1554,1998,1392,1360,1504
"ENSMUSG00000109317.1",30,48,60,28,20,10
"ENSMUSG00000030470.15",6,2,0,0,0,0
"ENSMUSG00000046179.17",1549,1672,2782,2334,2937,1571
"ENSMUSG00000085995.2",107,100,168,176,151,83
"ENSMUSG00000110093.1",0,0,0,0,0,0
"ENSMUSG00000052512.17",1538,1286,2646,3694,4836,1138
"ENSMUSG00000109507.1",0,0,0,0,0,0
"ENSMUSG00000109068.1",0,0,0,0,0,0
"ENSMUSG00000109203.1",0,0,0,0,0,0
"ENSMUSG00000108950.1",0,0,0,0,0,0
"ENSMUSG00000103834.1",0,0,0,0,0,0
"ENSMUSG00000109051.1",4,6,22,16,14,16
"ENSMUSG00000102148.1",2,0,0,0,8,0
"ENSMUSG00000030507.6",0,0,0,0,0,0
"ENSMUSG00000039745.8",40,56,32,104,102,52
"ENSMUSG00000030505.17",2146,2504,3490,2672,3146,2396
"ENSMUSG00000109154.1",2,20,6,20,2,0
"ENSMUSG00000039728.15",30,24,38,38,58,26
"ENSMUSG00000055409.14",8,4,4,6,6,8
"ENSMUSG00000085265.1",0,0,0,0,0,0
"ENSMUSG00000084234.2",0,0,0,0,0,0
"ENSMUSG00000109409.1",0,0,0,0,0,0
"ENSMUSG00000108958.1",0,0,0,0,0,0
"ENSMUSG00000109494.1",0,0,0,0,0,0
"ENSMUSG00000109476.1",0,0,0,0,0,0
"ENSMUSG00000109172.1",0,0,0,0,0,0
"ENSMUSG00000109173.1",0,0,0,0,0,0
"ENSMUSG00000109202.1",0,2,0,12,2,0
"ENSMUSG00000108963.1",0,0,0,4,2,0
"ENSMUSG00000109443.1",0,0,0,0,0,0
"ENSMUSG00000109059.1",6,2,4,6,2,6
"ENSMUSG00000055489.8",0,4,0,0,0,0
"ENSMUSG00000030500.6",0,0,0,0,0,0
"ENSMUSG00000109437.1",0,0,0,0,0,0
"ENSMUSG00000109331.1",0,0,0,0,0,0
"ENSMUSG00000078636.4",0,14,8,4,32,8
"ENSMUSG00000102124.1",0,0,0,0,0,0
"ENSMUSG00000108842.1",2,2,12,2,0,0
"ENSMUSG00000108957.1",6,30,26,6,8,8
"ENSMUSG00000092118.1",125,149,137,242,244,174
"ENSMUSG00000030498.15",112,179,111,118,122,68
"ENSMUSG00000074093.4",206,342,386,366,342,280
"ENSMUSG00000094445.7",0,0,0,0,0,0
"ENSMUSG00000109526.1",0,0,0,0,0,0
"ENSMUSG00000088722.1",1,0,0,0,0,0
"ENSMUSG00000109026.1",0,0,0,0,0,0
"ENSMUSG00000109099.1",0,0,0,0,0,0
"ENSMUSG00000074092.5",0,0,0,0,0,0
"ENSMUSG00000070203.1",0,0,0,0,0,0
"ENSMUSG00000099176.1",0,0,0,0,0,0
"ENSMUSG00000109312.1",0,0,0,0,0,0
"ENSMUSG00000099089.1",0,0,0,0,0,0
"ENSMUSG00000092856.2",0,0,0,0,0,0
"ENSMUSG00000099647.1",0,0,0,4,0,0
"ENSMUSG00000109050.1",0,0,0,0,0,0
"ENSMUSG00000063297.7",0,0,0,0,0,0
"ENSMUSG00000108474.1",0,0,0,0,0,0
"ENSMUSG00000108665.1",0,0,0,0,0,0
"ENSMUSG00000108581.1",0,0,0,0,0,0
"ENSMUSG00000108756.1",0,0,0,0,0,0
"ENSMUSG00000108519.1",0,0,0,0,0,0
"ENSMUSG00000108326.1",0,0,0,0,0,0
"ENSMUSG00000077163.1",0,0,0,0,0,0
"ENSMUSG00000108325.1",0,0,0,0,0,0
"ENSMUSG00000108744.1",0,0,0,0,0,0
"ENSMUSG00000108363.1",0,0,0,0,0,0
"ENSMUSG00000088640.1",0,0,0,0,0,0
"ENSMUSG00000051504.18",2,0,0,2,0,10
"ENSMUSG00000033790.11",1586,2212,2320,1830,2150,1600
"ENSMUSG00000030447.15",7971,9258,11305,7091,8818,6865
"ENSMUSG00000092526.1",12,14,16,2,10,10
"ENSMUSG00000108701.1",216,258,304,211,205,240
"ENSMUSG00000030452.16",817,1290,1655,1440,1245,1551
"ENSMUSG00000087178.7",99,113,195,147,208,190
"ENSMUSG00000108358.1",16,64,70,58,54,54
"ENSMUSG00000047037.5",234,326,557,405,490,654
"ENSMUSG00000085927.1",0,0,0,0,0,0
"ENSMUSG00000108640.1",4,6,2,8,2,4
"ENSMUSG00000108443.1",9,42,41,16,12,2
"ENSMUSG00000078087.5",1,0,3,0,4,0
"ENSMUSG00000108659.1",2,0,4,0,4,2
"ENSMUSG00000030451.16",6648,6550,10378,7688,9212,4532
"ENSMUSG00000108347.1",0,0,2,2,0,8
"ENSMUSG00000030450.11",0,0,0,0,12,0
"ENSMUSG00000108773.1",0,0,0,0,0,0
"ENSMUSG00000055026.13",0,0,0,0,0,0
"ENSMUSG00000108488.1",0,0,0,0,0,0
"ENSMUSG00000108647.1",0,0,0,0,0,0
"ENSMUSG00000108586.1",0,0,0,0,0,0
"ENSMUSG00000108450.1",0,0,0,0,0,0
"ENSMUSG00000108556.1",0,0,0,0,0,0
"ENSMUSG00000108377.1",0,0,0,0,0,0
"ENSMUSG00000055048.7",0,0,0,0,0,0
"ENSMUSG00000055078.7",0,2,0,2,2,0
"ENSMUSG00000033676.13",236,230,272,146,184,50
"ENSMUSG00000099203.1",0,0,0,0,0,0
"ENSMUSG00000109439.1",0,0,0,0,0,0
"ENSMUSG00000108597.1",0,2,0,0,0,0
"ENSMUSG00000109086.1",8,6,0,2,2,8
"ENSMUSG00000109475.1",0,0,0,0,0,0
"ENSMUSG00000109339.1",0,0,0,0,0,0
"ENSMUSG00000077784.1",0,0,0,0,0,0
"ENSMUSG00000077356.1",0,0,0,0,0,0
"ENSMUSG00000109348.1",0,0,0,0,0,0
"ENSMUSG00000108877.1",0,0,0,0,0,0
"ENSMUSG00000025324.8",448,400,994,434,554,298
"ENSMUSG00000109393.1",0,0,0,2,0,0
"ENSMUSG00000109434.1",2,0,0,0,0,0
"ENSMUSG00000086926.2",4,4,2,0,0,0
"ENSMUSG00000109261.1",0,0,0,0,0,0
"ENSMUSG00000109252.1",0,0,0,0,0,0
"ENSMUSG00000108909.1",0,0,0,0,0,0
"ENSMUSG00000109221.1",0,0,0,0,0,0
"ENSMUSG00000108838.1",0,0,0,0,0,0
"ENSMUSG00000108902.1",0,0,0,0,0,0
"ENSMUSG00000109308.1",0,0,0,0,0,0
"ENSMUSG00000109332.1",0,0,0,0,0,0
"ENSMUSG00000109536.1",184,148,217,218,257,77
"ENSMUSG00000025326.12",2939,5914,4990,5985,3474,3764
"ENSMUSG00000109362.1",0,0,0,4,0,6
"ENSMUSG00000108943.1",4,0,0,4,0,0
"ENSMUSG00000108880.1",197,343,303,420,235,205
"ENSMUSG00000108886.1",4,10,0,2,0,4
"ENSMUSG00000100826.6",756,2123,1666,1845,682,1388
"ENSMUSG00000109157.1",4,8,2,6,0,4
"ENSMUSG00000109122.1",2,0,2,10,0,8
"ENSMUSG00000077615.1",0,0,0,0,0,0
"ENSMUSG00000064377.1",0,0,0,0,0,0
"ENSMUSG00000077681.1",0,0,0,0,0,0
"ENSMUSG00000094095.1",0,0,0,0,0,0
"ENSMUSG00000094465.1",0,0,0,0,0,0
"ENSMUSG00000094476.1",0,0,0,0,0,0
"ENSMUSG00000094068.1",0,0,0,0,0,0
"ENSMUSG00000096387.1",0,0,0,0,0,0
"ENSMUSG00000094631.1",0,0,0,0,0,0
"ENSMUSG00000094034.1",0,0,0,0,0,0
"ENSMUSG00000096046.1",0,0,0,0,0,0
"ENSMUSG00000095425.1",0,0,0,0,0,0
"ENSMUSG00000094883.1",0,0,0,0,0,0
"ENSMUSG00000094038.1",0,0,0,0,0,0
"ENSMUSG00000094508.1",0,0,0,0,0,0
"ENSMUSG00000095418.1",0,0,0,0,0,0
"ENSMUSG00000095739.1",0,0,0,0,0,0
"ENSMUSG00000095342.1",0,0,0,0,0,0
"ENSMUSG00000096799.1",0,0,0,0,0,0
"ENSMUSG00000093997.1",0,0,0,0,0,0
"ENSMUSG00000096496.1",0,0,0,0,0,0
"ENSMUSG00000093994.1",0,0,0,0,0,0
"ENSMUSG00000095091.1",0,0,0,0,0,0
"ENSMUSG00000096291.1",0,0,0,0,0,0
"ENSMUSG00000093981.1",0,0,0,0,0,0
"ENSMUSG00000096913.1",0,0,0,0,0,0
"ENSMUSG00000095031.1",0,0,0,0,0,0
"ENSMUSG00000095713.1",0,0,0,0,0,0
"ENSMUSG00000093824.1",0,0,0,0,0,0
"ENSMUSG00000095491.1",0,0,0,0,0,0
"ENSMUSG00000095310.1",0,0,0,0,0,0
"ENSMUSG00000094565.1",0,0,0,0,0,0
"ENSMUSG00000095911.1",0,0,0,0,0,0
"ENSMUSG00000094723.1",0,0,0,0,0,0
"ENSMUSG00000095828.1",0,0,0,0,0,0
"ENSMUSG00000094667.1",0,0,0,0,0,0
"ENSMUSG00000096328.1",0,0,0,0,0,0
"ENSMUSG00000093830.1",0,0,0,0,0,0
"ENSMUSG00000096430.1",0,0,0,0,0,0
"ENSMUSG00000096683.1",0,0,0,0,0,0
"ENSMUSG00000094548.1",0,0,0,0,0,0
"ENSMUSG00000094919.1",0,0,0,0,0,0
"ENSMUSG00000094059.1",0,0,0,0,0,0
"ENSMUSG00000094888.1",0,0,0,0,0,0
"ENSMUSG00000095428.1",0,0,0,0,0,0
"ENSMUSG00000096390.1",0,0,0,0,0,0
"ENSMUSG00000094550.1",0,0,0,0,0,0
"ENSMUSG00000096161.1",0,0,0,0,0,0
